fall,winter,spring,summer,,,,,,
103,44,27,52,,,,,,
63,5,19,35,,,fall,winter,spring,summer
33,2,11,15,,median,358,177,323,496.5
23,4,4,12,,,,,,
11,3,8,13,,,,,,
15,74,90,118,,,,,,
42,256,318,366,,,,,,
115,795,795,933,,,,,,
146,1139,1079,1224,,,,,,
174,515,406,545,,,,,,
272,264,246,431,,,,,,
477,259,339,453,,,,,,
562,371,433,604,,,,,,
416,403,323,601,,,,,,
463,335,261,545,,,,,,
625,453,349,702,,,,,,
551,731,626,1024,,,,,,
632,1153,1085,1795,,,,,,
536,932,971,1388,,,,,,
449,551,600,1014,,,,,,
304,322,425,768,,,,,,
248,252,294,476,,,,,,
208,178,188,299,,,,,,
161,90,80,242,,,,,,
191,47,43,90,,,,,,
102,27,14,31,,,,,,
71,14,9,26,,,,,,
36,6,2,3,,,,,,
9,14,12,14,,,,,,
5,70,63,85,,,,,,
45,222,251,323,,,,,,
93,636,727,849,,,,,,
209,1046,1070,1244,,,,,,
406,501,464,637,,,,,,
670,279,209,521,,,,,,
791,308,280,510,,,,,,
926,414,327,751,,,,,,
892,406,333,692,,,,,,
922,398,292,661,,,,,,
948,502,386,847,,,,,,
973,698,552,1149,,,,,,
898,1013,1093,1681,,,,,,
853,677,826,1277,,,,,,
588,467,428,876,,,,,,
348,239,307,654,,,,,,
209,172,229,502,,,,,,
175,149,137,424,,,,,,
84,106,80,263,,,,,,
43,81,43,188,,,,,,
16,44,13,112,,,,,,
19,24,14,79,,,,,,
7,9,1,29,,,,,,
16,11,14,15,,,,,,
92,21,64,43,,,,,,
309,93,180,78,,,,,,
855,219,468,175,,,,,,
1151,358,923,393,,,,,,
599,435,489,670,,,,,,
340,523,254,888,,,,,,
443,594,286,1083,,,,,,
582,567,335,1083,,,,,,
556,632,307,1205,,,,,,
519,555,276,1167,,,,,,
607,483,339,1076,,,,,,
928,379,533,1007,,,,,,
1705,316,797,1015,,,,,,
1448,262,587,999,,,,,,
869,184,291,893,,,,,,
497,137,189,655,,,,,,
349,121,145,402,,,,,,
224,99,124,360,,,,,,
127,95,69,283,,,,,,
38,63,52,202,,,,,,
17,56,36,139,,,,,,
11,38,21,101,,,,,,
6,9,9,46,,,,,,
18,10,3,16,,,,,,
100,18,8,35,,,,,,
352,105,16,77,,,,,,
1018,112,63,149,,,,,,
1407,263,173,370,,,,,,
680,381,276,522,,,,,,
382,483,365,829,,,,,,
417,530,442,1037,,,,,,
559,517,459,1084,,,,,,
517,462,487,1050,,,,,,
529,516,461,1102,,,,,,
600,491,472,979,,,,,,
942,351,498,953,,,,,,
1715,257,426,934,,,,,,
1399,209,304,871,,,,,,
800,160,202,735,,,,,,
563,80,151,560,,,,,,
356,35,114,418,,,,,,
242,23,120,289,,,,,,
126,14,125,136,,,,,,
44,3,58,49,,,,,,
9,4,43,28,,,,,,
13,0,29,4,,,,,,
2,7,15,5,,,,,,
16,59,4,11,,,,,,
100,235,7,98,,,,,,
367,634,10,339,,,,,,
1078,961,65,834,,,,,,
1302,469,118,1054,,,,,,
624,238,198,501,,,,,,
359,260,314,238,,,,,,
425,341,411,312,,,,,,
493,361,461,325,,,,,,
512,281,496,352,,,,,,
469,377,551,317,,,,,,
586,633,520,406,,,,,,
979,1117,475,862,,,,,,
1680,932,377,1578,,,,,,
1357,507,307,1272,,,,,,
845,334,195,846,,,,,,
550,250,134,501,,,,,,
393,138,98,374,,,,,,
235,55,77,236,,,,,,
152,33,36,98,,,,,,
49,6,17,48,,,,,,
19,4,4,16,,,,,,
8,2,2,13,,,,,,
2,10,3,0,,,,,,
14,66,11,14,,,,,,
90,298,55,114,,,,,,
